20:46:20.121 -> Adafruit MPU6050 test!
20:46:21.623 -> Adafruit MPU6050 test!
20:46:21.879 -> MPU6050 Found!
20:46:21.879 -> Accelerometer range set to: +-8G
20:46:21.879 -> Gyro range set to: +- 500 deg/s
20:46:21.879 -> Filter bandwidth set to: 21 Hz
20:46:21.925 -> 
20:46:21.990 -> Acceleration X: -0.20, Y: -6.14, Z: -8.37 m/s^2
20:46:22.222 -> Acceleration X: -0.20, Y: -6.14, Z: -8.33 m/s^2
20:46:22.222 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.255 -> Acceleration X: -0.19, Y: -6.14, Z: -8.35 m/s^2
20:46:22.255 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.255 -> Acceleration X: -0.20, Y: -6.13, Z: -8.32 m/s^2
20:46:22.255 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.255 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:22.255 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.255 -> Acceleration X: -0.17, Y: -6.12, Z: -8.33 m/s^2
20:46:22.255 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.255 -> Acceleration X: -0.19, Y: -6.12, Z: -8.34 m/s^2
20:46:22.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.288 -> Acceleration X: -0.17, Y: -6.13, Z: -8.33 m/s^2
20:46:22.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.288 -> Acceleration X: -0.17, Y: -6.11, Z: -8.35 m/s^2
20:46:22.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.288 -> Acceleration X: -0.17, Y: -6.10, Z: -8.36 m/s^2
20:46:22.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.288 -> Acceleration X: -0.18, Y: -6.13, Z: -8.34 m/s^2
20:46:22.321 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.321 -> Acceleration X: -0.20, Y: -6.12, Z: -8.36 m/s^2
20:46:22.321 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.321 -> Acceleration X: -0.21, Y: -6.11, Z: -8.35 m/s^2
20:46:22.321 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.321 -> Acceleration X: -0.20, Y: -6.13, Z: -8.36 m/s^2
20:46:22.321 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.321 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:22.321 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.354 -> Acceleration X: -0.19, Y: -6.14, Z: -8.33 m/s^2
20:46:22.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.354 -> Acceleration X: -0.20, Y: -6.13, Z: -8.33 m/s^2
20:46:22.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.354 -> Acceleration X: -0.20, Y: -6.14, Z: -8.34 m/s^2
20:46:22.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.354 -> Acceleration X: -0.20, Y: -6.15, Z: -8.35 m/s^2
20:46:22.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.388 -> Acceleration X: -0.22, Y: -6.15, Z: -8.37 m/s^2
20:46:22.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.388 -> Acceleration X: -0.21, Y: -6.16, Z: -8.37 m/s^2
20:46:22.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.388 -> Acceleration X: -0.20, Y: -6.14, Z: -8.37 m/s^2
20:46:22.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.388 -> Acceleration X: -0.19, Y: -6.11, Z: -8.33 m/s^2
20:46:22.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.388 -> Acceleration X: -0.18, Y: -6.11, Z: -8.33 m/s^2
20:46:22.421 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.421 -> Acceleration X: -0.19, Y: -6.11, Z: -8.34 m/s^2
20:46:22.421 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.421 -> Acceleration X: -0.17, Y: -6.11, Z: -8.33 m/s^2
20:46:22.421 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.421 -> Acceleration X: -0.18, Y: -6.13, Z: -8.36 m/s^2
20:46:22.421 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.421 -> Acceleration X: -0.18, Y: -6.13, Z: -8.35 m/s^2
20:46:22.455 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.455 -> Acceleration X: -0.19, Y: -6.13, Z: -8.36 m/s^2
20:46:22.455 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.455 -> Acceleration X: -0.19, Y: -6.11, Z: -8.34 m/s^2
20:46:22.455 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.455 -> Acceleration X: -0.18, Y: -6.12, Z: -8.33 m/s^2
20:46:22.455 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.455 -> Acceleration X: -0.19, Y: -6.12, Z: -8.32 m/s^2
20:46:22.455 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.455 -> Acceleration X: -0.20, Y: -6.12, Z: -8.32 m/s^2
20:46:22.488 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.488 -> Acceleration X: -0.19, Y: -6.13, Z: -8.32 m/s^2
20:46:22.488 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.488 -> Acceleration X: -0.19, Y: -6.12, Z: -8.33 m/s^2
20:46:22.488 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.488 -> Acceleration X: -0.18, Y: -6.13, Z: -8.34 m/s^2
20:46:22.488 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.488 -> Acceleration X: -0.18, Y: -6.14, Z: -8.34 m/s^2
20:46:22.521 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.521 -> Acceleration X: -0.18, Y: -6.13, Z: -8.35 m/s^2
20:46:22.521 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.521 -> Acceleration X: -0.19, Y: -6.15, Z: -8.35 m/s^2
20:46:22.521 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.521 -> Acceleration X: -0.19, Y: -6.15, Z: -8.34 m/s^2
20:46:22.521 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.521 -> Acceleration X: -0.21, Y: -6.13, Z: -8.33 m/s^2
20:46:22.521 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.555 -> Acceleration X: -0.18, Y: -6.13, Z: -8.33 m/s^2
20:46:22.555 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.555 -> Acceleration X: -0.17, Y: -6.12, Z: -8.33 m/s^2
20:46:22.555 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.555 -> Acceleration X: -0.19, Y: -6.11, Z: -8.33 m/s^2
20:46:22.555 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.555 -> Acceleration X: -0.20, Y: -6.12, Z: -8.35 m/s^2
20:46:22.555 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.588 -> Acceleration X: -0.21, Y: -6.14, Z: -8.31 m/s^2
20:46:22.588 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.588 -> Acceleration X: -0.21, Y: -6.15, Z: -8.34 m/s^2
20:46:22.588 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.588 -> Acceleration X: -0.21, Y: -6.15, Z: -8.35 m/s^2
20:46:22.588 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.588 -> Acceleration X: -0.20, Y: -6.16, Z: -8.33 m/s^2
20:46:22.588 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.588 -> Acceleration X: -0.19, Y: -6.14, Z: -8.35 m/s^2
20:46:22.626 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.626 -> Acceleration X: -0.19, Y: -6.13, Z: -8.35 m/s^2
20:46:22.626 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.626 -> Acceleration X: -0.21, Y: -6.13, Z: -8.33 m/s^2
20:46:22.626 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.626 -> Acceleration X: -0.19, Y: -6.13, Z: -8.31 m/s^2
20:46:22.626 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.656 -> Acceleration X: -0.18, Y: -6.12, Z: -8.34 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.19, Y: -6.12, Z: -8.33 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.20, Y: -6.13, Z: -8.34 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.18, Y: -6.13, Z: -8.34 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.20, Y: -6.13, Z: -8.35 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.18, Y: -6.13, Z: -8.35 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.19, Y: -6.15, Z: -8.36 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.21, Y: -6.14, Z: -8.35 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.692 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:22.692 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.727 -> 

20:46:22.727 -> Acceleration X: -0.17, Y: -6.12, Z: -8.35 m/s^2
20:46:22.727 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.727 -> Acceleration X: -0.17, Y: -6.12, Z: -8.35 m/s^2
20:46:22.727 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.727 -> Acceleration X: -0.19, Y: -6.14, Z: -8.33 m/s^2
20:46:22.727 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.727 -> Acceleration X: -0.19, Y: -6.15, Z: -8.32 m/s^2
20:46:22.727 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.727 -> Acceleration X: -0.19, Y: -6.14, Z: -8.33 m/s^2
20:46:22.727 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.727 -> Acceleration X: -0.19, Y: -6.15, Z: -8.35 m/s^2
20:46:22.727 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.759 -> Acceleration X: -0.21, Y: -6.12, Z: -8.32 m/s^2
20:46:22.759 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.759 -> Acceleration X: -0.19, Y: -6.12, Z: -8.33 m/s^2
20:46:22.759 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.759 -> Acceleration X: -0.19, Y: -6.14, Z: -8.34 m/s^2
20:46:22.759 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.759 -> Acceleration X: -0.18, Y: -6.14, Z: -8.33 m/s^2
20:46:22.759 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.792 -> Acceleration X: -0.19, Y: -6.15, Z: -8.33 m/s^2
20:46:22.792 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.792 -> Acceleration X: -0.20, Y: -6.13, Z: -8.33 m/s^2
20:46:22.792 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.792 -> Acceleration X: -0.20, Y: -6.13, Z: -8.35 m/s^2
20:46:22.792 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.792 -> Acceleration X: -0.20, Y: -6.13, Z: -8.33 m/s^2
20:46:22.792 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.792 -> Acceleration X: -0.20, Y: -6.11, Z: -8.33 m/s^2
20:46:22.825 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.825 -> Acceleration X: -0.21, Y: -6.10, Z: -8.34 m/s^2
20:46:22.825 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.825 -> Acceleration X: -0.19, Y: -6.12, Z: -8.34 m/s^2
20:46:22.825 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.825 -> Acceleration X: -0.18, Y: -6.12, Z: -8.36 m/s^2
20:46:22.825 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.825 -> Acceleration X: -0.18, Y: -6.12, Z: -8.36 m/s^2
20:46:22.859 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.859 -> Acceleration X: -0.17, Y: -6.13, Z: -8.36 m/s^2
20:46:22.859 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.859 -> Acceleration X: -0.19, Y: -6.14, Z: -8.34 m/s^2
20:46:22.859 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.859 -> Acceleration X: -0.19, Y: -6.13, Z: -8.36 m/s^2
20:46:22.859 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.859 -> Acceleration X: -0.21, Y: -6.12, Z: -8.34 m/s^2
20:46:22.891 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.891 -> Acceleration X: -0.22, Y: -6.15, Z: -8.31 m/s^2
20:46:22.891 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.891 -> Acceleration X: -0.20, Y: -6.14, Z: -8.33 m/s^2
20:46:22.891 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.891 -> Acceleration X: -0.20, Y: -6.13, Z: -8.36 m/s^2
20:46:22.891 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.891 -> Acceleration X: -0.21, Y: -6.13, Z: -8.35 m/s^2
20:46:22.891 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.924 -> Acceleration X: -0.18, Y: -6.13, Z: -8.32 m/s^2
20:46:22.924 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.924 -> Acceleration X: -0.19, Y: -6.15, Z: -8.33 m/s^2
20:46:22.924 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.924 -> Acceleration X: -0.18, Y: -6.15, Z: -8.34 m/s^2
20:46:22.924 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.924 -> Acceleration X: -0.17, Y: -6.14, Z: -8.34 m/s^2
20:46:22.924 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.956 -> Acceleration X: -0.17, Y: -6.12, Z: -8.34 m/s^2
20:46:22.956 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.956 -> Acceleration X: -0.18, Y: -6.12, Z: -8.33 m/s^2
20:46:22.956 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:22.956 -> Acceleration X: -0.18, Y: -6.12, Z: -8.35 m/s^2
20:46:22.956 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.956 -> Acceleration X: -0.17, Y: -6.11, Z: -8.34 m/s^2
20:46:22.956 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.956 -> Acceleration X: -0.18, Y: -6.11, Z: -8.35 m/s^2
20:46:22.988 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.988 -> Acceleration X: -0.19, Y: -6.11, Z: -8.35 m/s^2
20:46:22.988 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.988 -> Acceleration X: -0.19, Y: -6.12, Z: -8.32 m/s^2
20:46:22.988 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:22.988 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:22.988 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.025 -> Acceleration X: -0.20, Y: -6.12, Z: -8.35 m/s^2
20:46:23.025 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.025 -> Acceleration X: -0.19, Y: -6.14, Z: -8.34 m/s^2
20:46:23.025 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.025 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:23.025 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.025 -> Acceleration X: -0.19, Y: -6.11, Z: -8.34 m/s^2
20:46:23.025 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.025 -> Acceleration X: -0.18, Y: -6.11, Z: -8.36 m/s^2
20:46:23.058 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.058 -> Acceleration X: -0.21, Y: -6.11, Z: -8.35 m/s^2
20:46:23.058 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.058 -> Acceleration X: -0.21, Y: -6.12, Z: -8.33 m/s^2
20:46:23.058 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.058 -> Acceleration X: -0.20, Y: -6.11, Z: -8.35 m/s^2
20:46:23.058 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.058 -> Acceleration X: -0.21, Y: -6.12, Z: -8.37 m/s^2
20:46:23.058 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.058 -> Acceleration X: -0.21, Y: -6.11, Z: -8.37 m/s^2
20:46:23.091 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.091 -> Acceleration X: -0.19, Y: -6.13, Z: -8.37 m/s^2
20:46:23.091 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.091 -> Acceleration X: -0.19, Y: -6.12, Z: -8.35 m/s^2
20:46:23.091 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.091 -> Acceleration X: -0.19, Y: -6.12, Z: -8.34 m/s^2
20:46:23.091 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.091 -> Acceleration X: -0.19, Y: -6.13, Z: -8.36 m/s^2
20:46:23.092 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.124 -> Acceleration X: -0.19, Y: -6.13, Z: -8.35 m/s^2
20:46:23.124 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.124 -> Acceleration X: -0.17, Y: -6.11, Z: -8.35 m/s^2
20:46:23.124 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.124 -> Acceleration X: -0.17, Y: -6.13, Z: -8.37 m/s^2
20:46:23.124 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.124 -> Acceleration X: -0.19, Y: -6.13, Z: -8.36 m/s^2
20:46:23.124 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.157 -> Acceleration X: -0.18, Y: -6.13, Z: -8.36 m/s^2
20:46:23.157 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.157 -> Acceleration X: -0.20, Y: -6.12, Z: -8.35 m/s^2
20:46:23.157 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.157 -> Acceleration X: -0.19, Y: -6.14, Z: -8.33 m/s^2
20:46:23.157 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.157 -> Acceleration X: -0.20, Y: -6.14, Z: -8.35 m/s^2
20:46:23.157 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.157 -> Acceleration X: -0.21, Y: -6.13, Z: -8.37 m/s^2
20:46:23.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.188 -> Acceleration X: -0.18, Y: -6.13, Z: -8.34 m/s^2
20:46:23.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.188 -> Acceleration X: -0.19, Y: -6.12, Z: -8.35 m/s^2
20:46:23.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.188 -> Acceleration X: -0.20, Y: -6.13, Z: -8.36 m/s^2
20:46:23.188 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.188 -> Acceleration X: -0.21, Y: -6.14, Z: -8.35 m/s^2
20:46:23.223 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.223 -> Acceleration X: -0.19, Y: -6.14, Z: -8.35 m/s^2
20:46:23.223 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
